id,table,diagnosisYear,ageSpecificIncidenceAge0_49,CILowerBound0_49,CIUpperBound0_49,ageSpecificIncidenceAge50_54,CILowerBound50_54,CIUpperBound50_54,ageSpecificIncidenceAge55_59,CILowerBound55_59,CIUpperBound55_59,ageSpecificIncidenceAge60_64,CILowerBound60_64,CIUpperBound60_64,ageSpecificIncidenceAge65_69,CILowerBound65_69,CIUpperBound65_69,ageSpecificIncidenceAge70_74,CILowerBound70_74,CIUpperBound70_74,ageSpecificIncidenceAge75_79,CILowerBound75_79,CIUpperBound75_79,ageSpecificIncidenceAge80_84,CILowerBound80_84,CIUpperBound80_84,ageSpecificIncidenceAge85_89,CILowerBound85_89,CIUpperBound85_89,ageSpecificIncidenceAge90,CILowerBound90,CIUpperBound90,ageStandardisedIncidence,CILowerBoundAS,CIUpperBoundAS
35,IMD1 ~,2022,3.095437,2.7054319,3.4854422,32.142605,27.979481,36.305729,50.017338,44.692863,55.341812,62.956608,56.488956,69.424263,76.095299,68.077118,84.11348,74.180656,65.52256,82.838753,63.294605,54.173721,72.415489,66.98175,55.239334,78.724167,43.448921,31.027075,55.870766,34.139824,20.187279,48.092369,24.260456,23.227379,25.293533
36,IMD1 ~,2023,3.4152136,3.0055585,3.8248687,31.01972,26.92996,35.109482,48.246811,43.017422,53.4762,62.437737,55.996792,68.878685,76.755089,68.702225,84.807953,64.973839,56.870834,73.076843,68.426598,58.943153,77.910042,56.800522,45.987289,67.613754,62.862267,47.920853,77.80368,40.077187,24.959984,55.194389,24.107971,23.078571,25.137371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,IMD2~,  All Years,3.3549488,3.1984289,3.5114686,32.181187,30.649588,33.712788,46.920746,45.00148,48.840012,60.285568,57.923317,62.64782,67.729813,65.063583,70.396042,66.048805,63.28566,68.811951,64.521271,61.337765,67.704773,57.284073,53.738884,60.829262,54.355385,49.969345,58.741425,45.254185,40.036644,50.471725,23.27459,22.916853,23.632326
38,IMD2~,2016,3.1441338,2.7471721,3.5410955,30.139124,26.192165,34.086082,45.773075,40.540775,51.005375,56.681774,50.371929,62.991619,61.990086,55.351799,68.628372,59.824772,52.378975,67.270569,54.098171,46.036678,62.159664,52.550594,43.33807,61.763119,50.970085,39.585266,62.354904,39.512306,26.421862,52.602753,21.441875,20.509569,22.374182
39,IMD2~,2017,2.9928226,2.6060345,3.3796108,28.73613,24.903847,32.568413,39.495422,34.712952,44.277893,55.189312,49.035675,61.342949,56.458336,50.004612,62.91206,55.114784,48.255192,61.974377,50.041492,42.3116,57.771385,45.623466,37.097416,54.149517,38.667732,28.800877,48.534588,32.585735,20.725739,44.445732,19.624779,18.740911,20.508646
40,IMD2~,2018,3.114491,2.7204535,3.5085285,30.695747,26.74581,34.645687,41.39769,36.574448,46.220932,53.246185,47.270405,59.221966,54.834084,48.422676,61.245491,58.297749,51.394833,65.200661,56.11758,48.008976,64.226181,47.23531,38.639362,55.831257,50.593323,39.29266,61.893986,35.916313,23.471945,48.36068,20.408573,19.514067,21.30308
41,IMD2~,2019,3.1541953,2.7576056,3.5507851,29.566858,25.694841,33.438873,40.704559,35.987015,45.422104,51.981518,46.147671,57.815365,61.006611,54.237125,67.776093,59.62571,52.727306,66.524117,55.742847,47.774536,63.711159,54.355862,45.220348,63.491375,46.876221,36.048367,57.704075,43.600056,30.088259,57.111855,20.82283,19.92588,21.71978
42,IMD2~,2020,2.712033,2.3443463,3.0797198,27.156599,23.43907,30.874128,40.823013,36.156555,45.489471,55.459728,49.529598,61.389858,60.050308,53.332893,66.767723,58.964069,52.165859,65.762283,52.088608,44.478996,59.698219,46.721695,38.255627,55.187763,42.345276,32.050797,52.639755,49.079487,34.739464,63.41951,20.164913,19.287121,21.042706
43,IMD2~,2021,3.5016489,3.0548906,3.9484072,31.206444,27.24173,35.171158,40.490791,35.939072,45.042511,51.025692,45.520302,56.531082,66.163124,59.356705,72.969543,57.663994,51.345905,63.982082,57.275707,49.983612,64.567802,52.458645,44.006981,60.910309,49.249798,38.840744,59.658852,38.657494,26.524794,50.790195,21.263887,20.394005,22.13377
44,IMD2~,2022,2.607152,2.2393248,2.9749792,23.242723,19.779184,26.706263,39.015228,34.485546,43.54491,43.08522,37.964867,48.205574,60.167656,53.469761,66.865547,54.284237,47.568512,60.999962,62.683704,54.719872,70.647537,52.95023,43.812695,62.087765,51.39024,39.836304,62.944176,39.942482,26.709518,53.175446,19.363272,18.503119,20.223425
45,IMD2~,2023,2.3369808,1.9887332,2.6852283,24.720583,21.148628,28.292538,39.425915,34.872456,43.979374,53.064514,47.382034,58.746994,53.762711,47.431347,60.094074,60.123577,53.05587,67.191284,57.15279,49.548412,64.757164,50.076962,41.1908,58.963123,52.742615,41.03764,64.447586,38.80127,25.758718,51.843819,19.58287,18.718378,20.447363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,IMD3~,  All Years,3.2030096,3.0439608,3.3620584,27.513439,26.126604,28.900274,41.340942,39.596279,43.085606,49.909309,47.852058,51.96656,57.72995,55.421715,60.038185,58.737995,56.343163,61.132828,57.784077,55.011803,60.556351,54.658829,51.467625,57.850033,53.268734,49.273724,57.263744,47.278988,42.353802,52.204174,20.623198,20.303719,20.942677
47,IMD3~,2016,3.083863,2.6725957,3.4951303,20.130863,17.00176,23.259966,40.61581,35.883667,45.347954,41.386616,36.296833,46.476398,49.231075,43.802925,54.659225,50.354256,44.173775,56.534737,43.887016,37.210682,50.563351,43.039581,35.402206,50.676956,45.083378,35.204048,54.962708,52.672913,38.752182,66.593643,17.673412,16.878098,18.468727
48,IMD3~,2017,3.0964165,2.6844275,3.5084054,23.924463,20.531481,27.317446,33.972404,29.709679,38.23513,42.089699,37.002789,47.176609,47.218132,41.774158,52.662106,52.182171,46.165874,58.198467,46.920086,40.06554,53.774632,43.628506,36.010502,51.24651,44.606472,34.892174,54.32077,30.264626,19.778467,40.750782,17.44248,16.659338,18.225622
49,IMD3~,2018,3.1756067,2.7588041,3.5924094,23.505054,20.145061,26.865047,36.885208,32.501678,41.268738,43.80917,38.66851,48.949829,45.490047,40.083897,50.896198,47.270149,41.672989,52.86731,49.07988,42.17337,55.986389,42.521599,35.096874,49.946323,46.318245,36.471363,56.165127,39.364544,27.459345,51.269741,17.588676,16.807795,18.369558
50,IMD3~,2019,2.7058315,2.3210802,3.0905828,26.380949,22.812851,29.949047,32.809048,28.733837,36.884258,40.667187,35.770782,45.563591,57.967388,51.832695,64.102081,55.401943,49.406185,61.397701,51.588341,44.660183,58.516499,52.952686,44.773106,61.132267,44.532677,34.952007,54.113346,41.603733,29.580828,53.62664,18.499525,17.704929,19.294121
51,IMD3~,2020,2.7461841,2.3587418,3.1336265,24.109381,20.681187,27.537575,34.956543,30.802221,39.110863,42.992455,38.018436,47.966473,47.601784,42.036003,53.167564,51.589939,45.837635,57.342243,45.751953,39.34668,52.157227,40.713696,33.576271,47.85112,41.644421,32.402428,50.886414,46.695404,34.003448,59.38736,17.351686,16.587049,18.116323
52,IMD3~,2021,2.6263363,2.2415853,3.0110874,28.745825,24.929876,32.561775,44.469704,39.678925,49.260483,48.034721,42.661407,53.408035,63.066162,56.372322,69.760002,58.548008,52.123013,64.973007,68.474152,60.439247,76.509056,62.710613,53.392616,72.02861,51.817947,41.112247,62.523647,49.993999,36.136368,63.851631,21.366867,20.490145,22.243589
53,IMD3~,2022,2.7292464,2.3348892,3.1236036,22.352503,19.002199,25.702806,33.81012,29.739319,37.88092,44.366463,39.419579,49.313347,46.946838,41.408138,52.485538,50.29623,44.415405,56.177055,43.527287,37.640099,49.414474,47.24921,39.531837,54.966583,45.250515,35.74184,54.75919,34.557705,23.569944,45.545467,17.132706,16.374199,17.891212
54,IMD3~,2023,2.3139262,1.950812,2.6770406,24.182533,20.697781,27.667286,30.748072,26.865984,34.630161,42.643494,37.793617,47.49337,48.477715,42.849434,54.105995,45.821476,40.208344,51.434608,47.880013,41.705475,54.05455,48.889809,41.0396,56.740017,51.491966,41.348698,61.635235,35.467121,24.335724,46.598518,16.88335,16.130646,17.636055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,IMD4~,  All Years,3.064141,2.9032865,3.2249956,24.321302,23.031044,25.611561,36.265427,34.650383,37.88047,46.183533,44.233147,48.133919,51.049458,48.933952,53.164963,52.151268,49.981354,54.321182,54.518372,51.929775,57.106968,55.0769,51.992596,58.161205,49.190075,45.481899,52.898251,49.465809,44.562687,54.368931,18.905333,18.605375,19.20529
56,IMD4~,2016,2.9422538,2.5249815,3.3595262,23.326822,20.009903,26.643742,29.447186,25.483202,33.411171,37.88282,33.109829,42.655811,38.657833,34.020824,43.294842,47.110977,41.395428,52.826527,48.007797,41.286705,54.728889,47.479805,39.751556,55.208054,38.775337,29.880249,47.670425,36.489693,25.181419,47.797966,16.150251,15.405934,16.894567
57,IMD4~,2017,3.102164,2.6732969,3.5310311,20.710466,17.597162,23.823771,34.340103,30.116911,38.563293,43.340454,38.272923,48.407986,45.465611,40.294773,50.636448,41.711075,36.58139,46.840759,43.670124,37.308014,50.032234,51.21344,43.277836,59.149044,38.216431,29.508993,46.923866,39.467899,27.80588,51.129917,16.755816,16.00403,17.507601
58,IMD4~,2018,3.2100484,2.773798,3.6462989,22.075756,18.859634,25.291878,32.661964,28.596851,36.727077,38.503925,33.768661,43.239189,44.773415,39.566059,49.98077,44.338116,39.172287,49.503944,39.359352,33.425175,45.29353,39.470779,32.605946,46.335613,43.651497,34.425655,52.877338,48.593868,35.751171,61.436565,16.317993,15.581635,17.054352
59,IMD4~,2019,2.5953715,2.2029064,2.9878366,24.651838,21.243778,28.059898,29.123323,25.334677,32.911968,42.837826,37.890308,47.785343,49.106407,43.613213,54.599602,43.324883,38.259174,48.390591,47.054352,40.735096,53.373608,52.412952,44.625057,60.200848,50.605782,40.784771,60.426792,51.886631,38.865562,64.9077,17.109638,16.362053,17.857224
