diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,15,0.2,0.1,0.3
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,10,0.2,0.1,0.3
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,20,0.3,0.2,0.4
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,20,0.3,0.2,0.4
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,10,0.2,0.1,0.3
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,All Routes,85,0.2,0.2,0.3
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0,0,0
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0,0,0
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,Emergency,0,0,0,0
2016,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,SUPPRESSED; n<10,0.1,0,0.2
2017,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,SUPPRESSED; n<10,0.1,0,0.2
2018,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,10,0.2,0.1,0.3
2019,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,15,0.3,0.1,0.4
2023,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,SUPPRESSED; n<10,0.1,0,0.2
allyears,0-49,All Persons,All IMD Quintiles,London,All Stages,Non-emergency,25,0.1,0.1,0.1
2016,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2017,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0,0,0.1
2018,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2019,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0,0,0.1
2020,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2021,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2022,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,London,Early,All Routes,0,0.1,0,0.1
2016,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2017,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2018,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2019,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.1
2020,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0,0,0.1
2021,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.2
2022,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,London,Advanced,All Routes,0,0.1,0,0.1
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,SUPPRESSED; n<10,0.3,0,0.5
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,10,0.7,0.3,1.1
