diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2022,60-64,All Persons,IMD2,All Regions,All Stages,Emergency,3.48,3.48,3.48
2023,60-64,All Persons,IMD2,All Regions,All Stages,Emergency,3.96,3.96,3.96
allyears,60-64,All Persons,IMD2,All Regions,All Stages,Emergency,2.7,2.2,3.2
2016,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,4.44,4.44,4.44
2017,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,4.61,4.61,4.61
2018,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,3.32,3.32,3.32
2019,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,6.6,6.6,6.6
2023,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,3.49,3.49,3.49
allyears,65-69,All Persons,IMD2,All Regions,All Stages,Emergency,3.2,2.62,3.78
2016,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,5.07,5.07,5.07
2017,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,3.78,3.78,3.78
2018,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,3.62,3.62,3.62
2019,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,3.68,3.68,3.68
2023,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,4.54,4.54,4.54
allyears,70-74,All Persons,IMD2,All Regions,All Stages,Emergency,2.8,2.23,3.37
2016,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,5.32,5.32,5.32
2017,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,4.04,4.04,4.04
2018,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,4.88,4.88,4.88
2019,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,5.27,5.27,5.27
2023,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,5.53,5.53,5.53
allyears,75-79,All Persons,IMD2,All Regions,All Stages,Emergency,3.56,2.81,4.3
2016,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,5.89,5.89,5.89
2017,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,6.64,6.64,6.64
2018,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,6.11,6.11,6.11
2019,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,6.16,6.16,6.16
2023,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,4.52,4.52,4.52
allyears,80-84,All Persons,IMD2,All Regions,All Stages,Emergency,4.06,3.11,5
2016,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,5.96,5.96,5.96
2017,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,8.52,8.52,8.52
2018,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,6.57,6.57,6.57
2019,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,3.38,3.38,3.38
2023,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,3.38,3.38,3.38
allyears,85-89,All Persons,IMD2,All Regions,All Stages,Emergency,3.87,2.7,5.04
2016,90+,All Persons,IMD2,All Regions,All Stages,Emergency,6.77,6.77,6.77
2017,90+,All Persons,IMD2,All Regions,All Stages,Emergency,7.87,7.87,7.87
2018,90+,All Persons,IMD2,All Regions,All Stages,Emergency,7.86,7.86,7.86
2019,90+,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,90+,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,90+,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,90+,All Persons,IMD2,All Regions,All Stages,Emergency,4.56,4.56,4.56
2023,90+,All Persons,IMD2,All Regions,All Stages,Emergency,5.71,5.71,5.71
allyears,90+,All Persons,IMD2,All Regions,All Stages,Emergency,4.54,2.89,6.19
2016,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,1.74,1.48,2.01
2017,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,1.61,1.36,1.87
2018,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,1.66,1.41,1.92
2019,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,1.8,1.54,2.06
2023,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,1.67,1.42,1.93
allyears,all ages,All Persons,IMD2,All Regions,All Stages,Emergency,1.2,1.11,1.28
2016,0-49,Male,IMD2,All Regions,All Stages,Emergency,0.54,0.31,0.77
2017,0-49,Male,IMD2,All Regions,All Stages,Emergency,0.26,0.1,0.41
2018,0-49,Male,IMD2,All Regions,All Stages,Emergency,0.38,0.19,0.58
2019,0-49,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,0-49,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,0-49,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,0-49,Male,IMD2,All Regions,All Stages,Emergency,0.46,0.24,0.68
2023,0-49,Male,IMD2,All Regions,All Stages,Emergency,0.41,0.2,0.61
allyears,0-49,Male,IMD2,All Regions,All Stages,Emergency,0.29,0.23,0.35
2016,50-54,Male,IMD2,All Regions,All Stages,Emergency,2.71,1.03,4.39
2017,50-54,Male,IMD2,All Regions,All Stages,Emergency,3.49,1.59,5.38
2018,50-54,Male,IMD2,All Regions,All Stages,Emergency,2.4,0.83,3.97
2019,50-54,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,50-54,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,50-54,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,50-54,Male,IMD2,All Regions,All Stages,Emergency,2.45,0.85,4.06
2023,50-54,Male,IMD2,All Regions,All Stages,Emergency,4.91,2.64,7.18
allyears,50-54,Male,IMD2,All Regions,All Stages,Emergency,2.27,1.69,2.85
2016,55-59,Male,IMD2,All Regions,All Stages,Emergency,4.4,2.1,6.71
2017,55-59,Male,IMD2,All Regions,All Stages,Emergency,3.04,1.16,4.93
2018,55-59,Male,IMD2,All Regions,All Stages,Emergency,5.02,2.64,7.41
2019,55-59,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,55-59,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,55-59,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,55-59,Male,IMD2,All Regions,All Stages,Emergency,5.29,2.91,7.67
2023,55-59,Male,IMD2,All Regions,All Stages,Emergency,4.46,2.27,6.64
allyears,55-59,Male,IMD2,All Regions,All Stages,Emergency,3.16,2.45,3.87
2016,60-64,Male,IMD2,All Regions,All Stages,Emergency,5.58,2.76,8.41
2017,60-64,Male,IMD2,All Regions,All Stages,Emergency,8.01,4.66,11.35
2018,60-64,Male,IMD2,All Regions,All Stages,Emergency,6.05,3.18,8.93
2019,60-64,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,60-64,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,60-64,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,60-64,Male,IMD2,All Regions,All Stages,Emergency,5.47,2.87,8.06
2023,60-64,Male,IMD2,All Regions,All Stages,Emergency,6.11,3.36,8.85
allyears,60-64,Male,IMD2,All Regions,All Stages,Emergency,4.45,3.53,5.37
2016,65-69,Male,IMD2,All Regions,All Stages,Emergency,6.85,3.68,10.01
2017,65-69,Male,IMD2,All Regions,All Stages,Emergency,6.72,3.53,9.92
2018,65-69,Male,IMD2,All Regions,All Stages,Emergency,5.22,2.38,8.05
2019,65-69,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,65-69,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,65-69,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,65-69,Male,IMD2,All Regions,All Stages,Emergency,10.77,6.71,14.83
2023,65-69,Male,IMD2,All Regions,All Stages,Emergency,6.38,3.25,9.51
allyears,65-69,Male,IMD2,All Regions,All Stages,Emergency,5.18,4.11,6.24
2016,70-74,Male,IMD2,All Regions,All Stages,Emergency,9.14,4.92,13.37
2017,70-74,Male,IMD2,All Regions,All Stages,Emergency,5.12,2.09,8.15
2018,70-74,Male,IMD2,All Regions,All Stages,Emergency,4.9,2,7.79
2019,70-74,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,70-74,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,70-74,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,70-74,Male,IMD2,All Regions,All Stages,Emergency,5,2.04,7.95
2023,70-74,Male,IMD2,All Regions,All Stages,Emergency,6.81,3.37,10.26
allyears,70-74,Male,IMD2,All Regions,All Stages,Emergency,4.26,3.23,5.28
2016,75-79,Male,IMD2,All Regions,All Stages,Emergency,7.53,3.08,11.97
2017,75-79,Male,IMD2,All Regions,All Stages,Emergency,6.78,2.58,10.99
2018,75-79,Male,IMD2,All Regions,All Stages,Emergency,9.28,4.42,14.14
2019,75-79,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,75-79,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,75-79,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,75-79,Male,IMD2,All Regions,All Stages,Emergency,7.99,3.81,12.18
2023,75-79,Male,IMD2,All Regions,All Stages,Emergency,8.56,4.23,12.9
allyears,75-79,Male,IMD2,All Regions,All Stages,Emergency,5.84,4.41,7.28
2016,80-84,Male,IMD2,All Regions,All Stages,Emergency,4.97,0.61,9.33
2017,80-84,Male,IMD2,All Regions,All Stages,Emergency,13.62,6.49,20.76
2018,80-84,Male,IMD2,All Regions,All Stages,Emergency,10.44,4.27,16.61
2019,80-84,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,80-84,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,80-84,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,80-84,Male,IMD2,All Regions,All Stages,Emergency,9.52,3.62,15.43
2023,80-84,Male,IMD2,All Regions,All Stages,Emergency,6.67,1.73,11.6
allyears,80-84,Male,IMD2,All Regions,All Stages,Emergency,6.4,4.57,8.23
2016,85-89,Male,IMD2,All Regions,All Stages,Emergency,8.88,1.1,16.67
2017,85-89,Male,IMD2,All Regions,All Stages,Emergency,10.42,2.08,18.75
2018,85-89,Male,IMD2,All Regions,All Stages,Emergency,6.9,0.14,13.67
2019,85-89,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,85-89,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,85-89,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,85-89,Male,IMD2,All Regions,All Stages,Emergency,1.77,-1.7,5.23
2023,85-89,Male,IMD2,All Regions,All Stages,Emergency,5.3,-0.7,11.3
allyears,85-89,Male,IMD2,All Regions,All Stages,Emergency,4.72,2.6,6.84
2016,90+,Male,IMD2,All Regions,All Stages,Emergency,7.82,-3.02,18.65
2017,90+,Male,IMD2,All Regions,All Stages,Emergency,15.1,0.3,29.9
2018,90+,Male,IMD2,All Regions,All Stages,Emergency,7.38,-2.85,17.62
2019,90+,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,90+,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,90+,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,90+,Male,IMD2,All Regions,All Stages,Emergency,7.26,-2.8,17.31
2023,90+,Male,IMD2,All Regions,All Stages,Emergency,14.51,0.29,28.73
allyears,90+,Male,IMD2,All Regions,All Stages,Emergency,7.34,3.49,11.18
2016,all ages,Male,IMD2,All Regions,All Stages,Emergency,2.61,2.13,3.09
2017,all ages,Male,IMD2,All Regions,All Stages,Emergency,2.62,2.14,3.11
2018,all ages,Male,IMD2,All Regions,All Stages,Emergency,2.43,1.98,2.89
2019,all ages,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,all ages,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,all ages,Male,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,all ages,Male,IMD2,All Regions,All Stages,Emergency,2.62,2.16,3.08
2023,all ages,Male,IMD2,All Regions,All Stages,Emergency,2.67,2.2,3.14
allyears,all ages,Male,IMD2,All Regions,All Stages,Emergency,1.84,1.69,1.99
2016,0-49,Female,IMD2,All Regions,All Stages,Emergency,0.13,0.02,0.25
2017,0-49,Female,IMD2,All Regions,All Stages,Emergency,0.08,-0.01,0.17
2018,0-49,Female,IMD2,All Regions,All Stages,Emergency,0.21,0.06,0.36
2019,0-49,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,0-49,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,0-49,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,0-49,Female,IMD2,All Regions,All Stages,Emergency,0.24,0.08,0.4
2023,0-49,Female,IMD2,All Regions,All Stages,Emergency,0.16,0.03,0.29
allyears,0-49,Female,IMD2,All Regions,All Stages,Emergency,0.12,0.08,0.16
2016,50-54,Female,IMD2,All Regions,All Stages,Emergency,1.07,0.02,2.11
2017,50-54,Female,IMD2,All Regions,All Stages,Emergency,0.53,-0.2,1.26
2018,50-54,Female,IMD2,All Regions,All Stages,Emergency,1.05,0.02,2.08
2019,50-54,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,50-54,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,50-54,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,50-54,Female,IMD2,All Regions,All Stages,Emergency,0.53,-0.2,1.26
2023,50-54,Female,IMD2,All Regions,All Stages,Emergency,0.79,-0.1,1.69
allyears,50-54,Female,IMD2,All Regions,All Stages,Emergency,0.56,0.28,0.85
2016,55-59,Female,IMD2,All Regions,All Stages,Emergency,1.54,0.19,2.89
2017,55-59,Female,IMD2,All Regions,All Stages,Emergency,1.49,0.18,2.8
2018,55-59,Female,IMD2,All Regions,All Stages,Emergency,1.74,0.35,3.13
2019,55-59,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,55-59,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,55-59,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,55-59,Female,IMD2,All Regions,All Stages,Emergency,2.96,1.21,4.71
2023,55-59,Female,IMD2,All Regions,All Stages,Emergency,1.88,0.49,3.28
allyears,55-59,Female,IMD2,All Regions,All Stages,Emergency,1.38,0.92,1.84
2016,60-64,Female,IMD2,All Regions,All Stages,Emergency,1.08,-0.14,2.3
2017,60-64,Female,IMD2,All Regions,All Stages,Emergency,0.35,-0.34,1.04
2018,60-64,Female,IMD2,All Regions,All Stages,Emergency,2.4,0.62,4.17
2019,60-64,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,60-64,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,60-64,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,60-64,Female,IMD2,All Regions,All Stages,Emergency,1.56,0.19,2.93
2023,60-64,Female,IMD2,All Regions,All Stages,Emergency,1.87,0.37,3.37
allyears,60-64,Female,IMD2,All Regions,All Stages,Emergency,1.05,0.61,1.49
2016,65-69,Female,IMD2,All Regions,All Stages,Emergency,2.16,0.43,3.89
2017,65-69,Female,IMD2,All Regions,All Stages,Emergency,2.61,0.68,4.55
2018,65-69,Female,IMD2,All Regions,All Stages,Emergency,1.52,0.03,3.01
2019,65-69,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,65-69,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,65-69,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,65-69,Female,IMD2,All Regions,All Stages,Emergency,2.65,0.69,4.61
2023,65-69,Female,IMD2,All Regions,All Stages,Emergency,0.76,-0.29,1.8
allyears,65-69,Female,IMD2,All Regions,All Stages,Emergency,1.4,0.86,1.94
2016,70-74,Female,IMD2,All Regions,All Stages,Emergency,1.38,-0.18,2.94
2017,70-74,Female,IMD2,All Regions,All Stages,Emergency,2.55,0.51,4.59
2018,70-74,Female,IMD2,All Regions,All Stages,Emergency,2.45,0.49,4.4
2019,70-74,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,70-74,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,70-74,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,70-74,Female,IMD2,All Regions,All Stages,Emergency,2.48,0.5,4.46
2023,70-74,Female,IMD2,All Regions,All Stages,Emergency,2.48,0.5,4.46
allyears,70-74,Female,IMD2,All Regions,All Stages,Emergency,1.59,0.99,2.19
2016,75-79,Female,IMD2,All Regions,All Stages,Emergency,3.46,0.69,6.22
2017,75-79,Female,IMD2,All Regions,All Stages,Emergency,1.72,-0.23,3.67
2018,75-79,Female,IMD2,All Regions,All Stages,Emergency,1.13,-0.44,2.7
2019,75-79,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,75-79,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,75-79,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,75-79,Female,IMD2,All Regions,All Stages,Emergency,2.93,0.59,5.28
2023,75-79,Female,IMD2,All Regions,All Stages,Emergency,2.93,0.59,5.28
allyears,75-79,Female,IMD2,All Regions,All Stages,Emergency,1.79,1.06,2.52
2016,80-84,Female,IMD2,All Regions,All Stages,Emergency,6.56,2.27,10.84
2017,80-84,Female,IMD2,All Regions,All Stages,Emergency,1.45,-0.56,3.45
2018,80-84,Female,IMD2,All Regions,All Stages,Emergency,2.85,0.06,5.65
2019,80-84,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,80-84,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,80-84,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,80-84,Female,IMD2,All Regions,All Stages,Emergency,3.61,0.45,6.77
2023,80-84,Female,IMD2,All Regions,All Stages,Emergency,2.89,0.06,5.71
allyears,80-84,Female,IMD2,All Regions,All Stages,Emergency,2.46,1.47,3.44
2016,85-89,Female,IMD2,All Regions,All Stages,Emergency,4.22,0.08,8.36
2017,85-89,Female,IMD2,All Regions,All Stages,Emergency,7.37,1.91,12.83
2018,85-89,Female,IMD2,All Regions,All Stages,Emergency,6.37,1.27,11.46
2019,85-89,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,85-89,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,85-89,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,85-89,Female,IMD2,All Regions,All Stages,Emergency,4.38,0.09,8.67
2023,85-89,Female,IMD2,All Regions,All Stages,Emergency,2.19,-0.85,5.23
allyears,85-89,Female,IMD2,All Regions,All Stages,Emergency,3.52,2.08,4.96
2016,90+,Female,IMD2,All Regions,All Stages,Emergency,6.35,0.13,12.57
2017,90+,Female,IMD2,All Regions,All Stages,Emergency,4.8,-0.63,10.23
2018,90+,Female,IMD2,All Regions,All Stages,Emergency,8.06,1,15.13
2019,90+,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,90+,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,90+,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,90+,Female,IMD2,All Regions,All Stages,Emergency,3.33,-1.29,7.95
2023,90+,Female,IMD2,All Regions,All Stages,Emergency,1.67,-1.6,4.93
allyears,90+,Female,IMD2,All Regions,All Stages,Emergency,3.45,1.71,5.2
2016,all ages,Female,IMD2,All Regions,All Stages,Emergency,0.94,0.67,1.2
2017,all ages,Female,IMD2,All Regions,All Stages,Emergency,0.74,0.5,0.97
2018,all ages,Female,IMD2,All Regions,All Stages,Emergency,0.96,0.7,1.22
2019,all ages,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2020,all ages,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2021,all ages,Female,IMD2,All Regions,All Stages,Emergency,0,0,0
2022,all ages,Female,IMD2,All Regions,All Stages,Emergency,1.05,0.77,1.32
2023,all ages,Female,IMD2,All Regions,All Stages,Emergency,0.79,0.56,1.03
allyears,all ages,Female,IMD2,All Regions,All Stages,Emergency,0.64,0.56,0.72
2016,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0.2,0.2,0.2
2017,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0.07,0.07,0.07
2018,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0.16,0.16,0.16
2019,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0.21,0.21,0.21
2023,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0.19,0.19,0.19
allyears,0-49,All Persons,IMD3,All Regions,All Stages,Emergency,0.12,0.09,0.15
2016,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,1.39,1.39,1.39
2017,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,0.75,0.75,0.75
2018,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,2.13,2.13,2.13
2019,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,0.92,0.92,0.92
2023,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,1.96,1.96,1.96
allyears,50-54,All Persons,IMD3,All Regions,All Stages,Emergency,1.02,0.75,1.29
2016,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,1.44,1.44,1.44
2017,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,1.81,1.81,1.81
2018,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,1.9,1.9,1.9
2019,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,1.66,1.66,1.66
2023,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,3.06,3.06,3.06
allyears,55-59,All Persons,IMD3,All Regions,All Stages,Emergency,1.42,1.1,1.74
2016,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,2.28,2.28,2.28
2017,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,3.52,3.52,3.52
2018,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,3.61,3.61,3.61
2019,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,3.3,3.3,3.3
2023,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,3.16,3.16,3.16
allyears,60-64,All Persons,IMD3,All Regions,All Stages,Emergency,2.3,1.85,2.74
2016,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,2.65,2.65,2.65
2017,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,3.59,3.59,3.59
2018,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,3.01,3.01,3.01
2019,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,4.25,4.25,4.25
2023,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,3.57,3.57,3.57
allyears,65-69,All Persons,IMD3,All Regions,All Stages,Emergency,2.47,2,2.95
2016,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,3.95,3.95,3.95
2017,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,2.53,2.53,2.53
2018,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,4.66,4.66,4.66
2019,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,3.58,3.58,3.58
2023,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,3.58,3.58,3.58
allyears,70-74,All Persons,IMD3,All Regions,All Stages,Emergency,2.57,2.07,3.07
2016,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,2.38,2.38,2.38
2017,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,4.95,4.95,4.95
2018,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,4.05,4.05,4.05
2019,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,2.9,2.9,2.9
2023,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,3.94,3.94,3.94
allyears,75-79,All Persons,IMD3,All Regions,All Stages,Emergency,2.67,2.07,3.26
2016,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,4.94,4.94,4.94
2017,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,3.46,3.46,3.46
2018,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,4.72,4.72,4.72
2019,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2021,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2022,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,1.97,1.97,1.97
2023,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,2.95,2.95,2.95
allyears,80-84,All Persons,IMD3,All Regions,All Stages,Emergency,2.57,1.88,3.26
2016,85-89,All Persons,IMD3,All Regions,All Stages,Emergency,5.07,5.07,5.07
2017,85-89,All Persons,IMD3,All Regions,All Stages,Emergency,8.26,8.26,8.26
2018,85-89,All Persons,IMD3,All Regions,All Stages,Emergency,6.54,6.54,6.54
2019,85-89,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
2020,85-89,All Persons,IMD3,All Regions,All Stages,Emergency,0,0,0
