quarterYear,survival,ciLb,ciUb,sex,dep,region,route,stage,ageBand,diagnosisYear
2,.63999999,.60000002,.68000001,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
2.25,.63,.58999997,.66000003,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
2.5,.61000001,.56999999,.64999998,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
2.75,.60000002,.56,.63999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
3,.57999998,.54000002,.62,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
3.25,.57999998,.54000002,.62,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
3.5,.56999999,.52999997,.61000001,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
3.75,.55000001,.50999999,.58999997,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
4,.55000001,.50999999,.58999997,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
4.25,.54000002,.5,.58999997,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.49000001,.56999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.49000001,.56999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
5,.52999997,.47999999,.56999999,All Persons,IMD Q2,London,All Routes,All Stages,All Ages,All Years
0,.99000001,.98000002,1,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
.25,.91000003,.88,.94999999,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
.5,.83999997,.79000002,.88,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
.75,.77999997,.73000002,.82999998,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
1,.74000001,.69,.79000002,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
1.25,.70999998,.66000003,.76999998,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
1.5,.68000001,.62,.74000001,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
1.75,.66000003,.60000002,.72000003,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
2,.63999999,.57999998,.69999999,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
2.25,.61000001,.55000001,.67000002,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
2.5,.60000002,.54000002,.67000002,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
2.75,.58999997,.52999997,.66000003,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
3,.58999997,.52999997,.66000003,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
3.25,.58999997,.51999998,.64999998,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
3.5,.56,.5,.63,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
3.75,.56,.5,.63,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
4,.55000001,.49000001,.62,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
4.25,.54000002,.47999999,.61000001,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
4.5,.52999997,.46000001,.58999997,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.46000001,.58999997,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
5,.52999997,.46000001,.58999997,All Persons,IMD Q2,North East,All Routes,All Stages,All Ages,All Years
0,1,.99000001,1,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
.25,.93000001,.91000003,.94999999,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
.5,.85000002,.81999999,.88,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
.75,.80000001,.75999999,.82999998,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
1,.74000001,.69999999,.76999998,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
1.25,.69999999,.66000003,.74000001,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
1.5,.66000003,.62,.69999999,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
1.75,.62,.56999999,.66000003,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
2,.60000002,.55000001,.63999999,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
2.25,.57999998,.54000002,.62,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
2.5,.56,.51999998,.60000002,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
2.75,.54000002,.5,.58999997,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
3,.52999997,.49000001,.57999998,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
3.25,.52999997,.47999999,.56999999,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
3.5,.51999998,.47,.56,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
3.75,.50999999,.47,.56,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
4,.50999999,.46000001,.55000001,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
4.25,.49000001,.44,.52999997,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
4.5,.47999999,.43000001,.52999997,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
4.75,.47,.43000001,.51999998,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
5,.47,.43000001,.51999998,All Persons,IMD Q2,North West,All Routes,All Stages,All Ages,All Years
0,1,.99000001,1,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
.25,.94999999,.93000001,.97000003,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
.5,.88,.85000002,.91000003,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
.75,.81,.76999998,.83999997,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
1,.75999999,.72000003,.80000001,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
1.25,.72000003,.68000001,.75999999,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
1.5,.69,.64999998,.74000001,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
1.75,.67000002,.63,.72000003,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
2,.66000003,.62,.70999998,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
2.25,.64999998,.60000002,.69,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
2.5,.63999999,.60000002,.68000001,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
2.75,.63,.58999997,.68000001,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
3,.61000001,.56999999,.66000003,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
3.25,.60000002,.55000001,.64999998,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
3.5,.57999998,.54000002,.63,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
3.75,.57999998,.52999997,.63,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
4,.56999999,.51999998,.62,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
4.25,.55000001,.50999999,.60000002,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
4.5,.54000002,.49000001,.60000002,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
4.75,.52999997,.47999999,.57999998,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
5,.51999998,.47,.57999998,All Persons,IMD Q2,South East,All Routes,All Stages,All Ages,All Years
0,1,.99000001,1,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
.25,.92000002,.88999999,.94,All Persons,IMD Q2,South West,All Routes,All Stages,All Ages,All Years
