diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2022,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,10,0.8,0.3,1.2,region_North East
2023,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,15,0.8,0.4,1.3,region_North East
allyears,0-49,All Persons,All IMD Quintiles,North East,All Stages,All Routes,155,1.4,1.2,1.6,
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.2,region_North East_rtd_emergency
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,region_North East_rtd_emergency
2018,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.1,-0.1,0.2,region_North East_rtd_emergency
2019,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_North East_rtd_emergency
2020,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_North East_rtd_emergency
2021,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,region_North East_rtd_emergency
2022,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,region_North East_rtd_emergency
2023,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,SUPPRESSED; n<10,0.1,0.0,0.3,region_North East_rtd_emergency
allyears,0-49,All Persons,All IMD Quintiles,North East,All Stages,Emergency,0,0.1,0.0,0.1,
2016,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,25,1.5,0.9,2.1,region_North East_rtd_non_emergency
2017,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,20,1.3,0.7,1.8,region_North East_rtd_non_emergency
2018,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,15,1.1,0.6,1.6,region_North East_rtd_non_emergency
2019,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_North East_rtd_non_emergency
2020,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_North East_rtd_non_emergency
2021,0-49,All Persons,All IMD Quintiles,North East,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,region_North East_rtd_non_emergency
