diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb,table
2018,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,60,18.0,13.4,22.7,imd_4
2019,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,65,19.3,14.6,24.0,imd_4
2020,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,60,18.2,13.6,22.7,imd_4
2021,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,65,24.0,18.3,29.8,imd_4
2022,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,70,20.1,15.3,24.9,imd_4
2023,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,65,18.9,14.3,23.6,imd_4
allyears,80-84,All Persons,IMD Q4,All Regions,All Stages,All Routes,520,23.3,21.3,25.3,
2016,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.7,-0.3,1.6,imd_4_rtd_emergency
2017,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,SUPPRESSED; n<10,1.6,0.2,3.0,imd_4_rtd_emergency
2018,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.6,-0.2,1.5,imd_4_rtd_emergency
2019,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_emergency
2020,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_emergency
2021,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_emergency
2022,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.9,-0.1,1.9,imd_4_rtd_emergency
2023,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.6,-0.2,1.4,imd_4_rtd_emergency
allyears,80-84,All Persons,IMD Q4,All Regions,All Stages,Emergency,0,0.6,0.3,1.0,
2016,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,55,18.7,13.8,23.5,imd_4_rtd_non_emergency
2017,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,70,22.1,16.9,27.3,imd_4_rtd_non_emergency
2018,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,55,16.8,12.3,21.3,imd_4_rtd_non_emergency
2019,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_non_emergency
2020,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_non_emergency
2021,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_4_rtd_non_emergency
2022,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,65,19.2,14.6,23.9,imd_4_rtd_non_emergency
2023,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,60,18.0,13.5,22.6,imd_4_rtd_non_emergency
allyears,80-84,All Persons,IMD Q4,All Regions,All Stages,Non-emergency,305,13.8,12.2,15.3,
2016,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,25,8.8,5.5,12.2,imd_4_stage_early
2017,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,30,9.9,6.4,13.4,imd_4_stage_early
2018,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,25,8.1,5.0,11.2,imd_4_stage_early
2019,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,25,7.2,4.3,10.1,imd_4_stage_early
2020,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,20,6.3,3.6,8.9,imd_4_stage_early
2021,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,25,8.6,5.2,12.1,imd_4_stage_early
2022,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_early
2023,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_early
allyears,80-84,All Persons,IMD Q4,All Regions,Early,All Routes,150,7.9,6.7,9.0,
2016,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,25,8.8,5.5,12.2,imd_4_stage_advanced
2017,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,35,11.5,7.8,15.3,imd_4_stage_advanced
2018,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,20,6.8,4.0,9.7,imd_4_stage_advanced
2019,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,25,8.1,5.1,11.2,imd_4_stage_advanced
2020,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,30,9.2,6.0,12.5,imd_4_stage_advanced
2021,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,30,11.5,7.5,15.5,imd_4_stage_advanced
2022,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_advanced
2023,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_4_stage_advanced
allyears,80-84,All Persons,IMD Q4,All Regions,Advanced,All Routes,165,6.9,5.8,8.0,
2016,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,3.5,-3.4,10.4,imd_4_region_East Midlands
2017,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,10.3,-1.4,21.9,imd_4_region_East Midlands
2018,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,6.6,-2.6,15.8,imd_4_region_East Midlands
2019,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,65,205.4,155.1,255.8,imd_4_region_East Midlands
2020,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,60,192.3,144.1,240.6,imd_4_region_East Midlands
2021,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,65,276.4,210.2,342.5,imd_4_region_East Midlands
2022,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_East Midlands
2023,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,3.1,-3.0,9.2,imd_4_region_East Midlands
allyears,80-84,All Persons,IMD Q4,East Midlands,All Stages,All Routes,190,19.8,13.7,25.8,
2016,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,SUPPRESSED; n<10,2.7,-2.6,8.0,imd_4_region_East of England
2017,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,SUPPRESSED; n<10,7.9,-1.0,16.8,imd_4_region_East of England
2018,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,SUPPRESSED; n<10,5.1,-2.0,12.1,imd_4_region_East of England
2019,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,65,158.6,119.7,197.4,imd_4_region_East of England
2020,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,60,149.5,112.0,187.1,imd_4_region_East of England
2021,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,65,197.5,150.2,244.8,imd_4_region_East of England
2022,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_East of England
2023,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,SUPPRESSED; n<10,2.5,-2.4,7.3,imd_4_region_East of England
allyears,80-84,All Persons,IMD Q4,East of England,All Stages,All Routes,190,30.0,23.5,36.5,
2016,80-84,All Persons,IMD Q4,London,All Stages,All Routes,SUPPRESSED; n<10,3.4,-3.2,10.0,imd_4_region_London
2017,80-84,All Persons,IMD Q4,London,All Stages,All Routes,SUPPRESSED; n<10,10.0,-1.3,21.2,imd_4_region_London
2018,80-84,All Persons,IMD Q4,London,All Stages,All Routes,SUPPRESSED; n<10,6.5,-2.5,15.6,imd_4_region_London
2019,80-84,All Persons,IMD Q4,London,All Stages,All Routes,65,202.7,153.1,252.4,imd_4_region_London
2020,80-84,All Persons,IMD Q4,London,All Stages,All Routes,60,192.7,144.4,241.1,imd_4_region_London
2021,80-84,All Persons,IMD Q4,London,All Stages,All Routes,65,202.5,154.0,251.0,imd_4_region_London
2022,80-84,All Persons,IMD Q4,London,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_London
2023,80-84,All Persons,IMD Q4,London,All Stages,All Routes,SUPPRESSED; n<10,3.3,-3.1,9.7,imd_4_region_London
allyears,80-84,All Persons,IMD Q4,London,All Stages,All Routes,190,22.1,15.8,28.3,
2016,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,SUPPRESSED; n<10,8.5,-8.1,25.1,imd_4_region_North East
2017,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,SUPPRESSED; n<10,24.6,-3.2,52.5,imd_4_region_North East
2018,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,SUPPRESSED; n<10,16.0,-6.2,38.2,imd_4_region_North East
2019,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,65,494.9,373.6,616.1,imd_4_region_North East
2020,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,60,468.3,350.7,585.8,imd_4_region_North East
2021,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,65,573.9,436.5,711.4,imd_4_region_North East
2022,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_North East
2023,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,SUPPRESSED; n<10,7.6,-7.3,22.6,imd_4_region_North East
allyears,80-84,All Persons,IMD Q4,North East,All Stages,All Routes,190,19.5,10.2,28.8,
2016,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,SUPPRESSED; n<10,2.7,-2.6,7.9,imd_4_region_North West
2017,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,SUPPRESSED; n<10,7.9,-1.0,16.7,imd_4_region_North West
2018,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,SUPPRESSED; n<10,5.1,-2.0,12.1,imd_4_region_North West
2019,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,65,156.2,117.9,194.5,imd_4_region_North West
2020,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,60,147.3,110.4,184.3,imd_4_region_North West
2021,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,65,186.7,142.0,231.4,imd_4_region_North West
2022,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_North West
2023,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,SUPPRESSED; n<10,2.3,-2.3,6.9,imd_4_region_North West
allyears,80-84,All Persons,IMD Q4,North West,All Stages,All Routes,190,19.6,14.3,24.8,
2016,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,SUPPRESSED; n<10,1.7,-1.6,5.0,imd_4_region_South East
2017,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,SUPPRESSED; n<10,4.9,-0.6,10.5,imd_4_region_South East
2018,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,SUPPRESSED; n<10,3.2,-1.2,7.6,imd_4_region_South East
2019,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,65,99.5,75.1,123.9,imd_4_region_South East
2020,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,60,93.4,69.9,116.8,imd_4_region_South East
2021,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,65,126.5,96.2,156.8,imd_4_region_South East
2022,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_South East
2023,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,SUPPRESSED; n<10,1.5,-1.5,4.5,imd_4_region_South East
allyears,80-84,All Persons,IMD Q4,South East,All Stages,All Routes,190,22.7,18.2,27.2,
2016,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,SUPPRESSED; n<10,2.4,-2.3,7.2,imd_4_region_South West
2017,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,SUPPRESSED; n<10,7.2,-0.9,15.3,imd_4_region_South West
2018,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,SUPPRESSED; n<10,4.7,-1.8,11.2,imd_4_region_South West
2019,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,65,144.8,109.3,180.3,imd_4_region_South West
2020,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,60,136.0,101.9,170.2,imd_4_region_South West
2021,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,65,195.5,148.7,242.4,imd_4_region_South West
2022,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_South West
2023,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,SUPPRESSED; n<10,2.2,-2.1,6.6,imd_4_region_South West
allyears,80-84,All Persons,IMD Q4,South West,All Stages,All Routes,190,25.5,19.8,31.3,
2016,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,SUPPRESSED; n<10,3.3,-3.1,9.6,imd_4_region_West Midlands
2017,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,SUPPRESSED; n<10,9.5,-1.2,20.2,imd_4_region_West Midlands
2018,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,SUPPRESSED; n<10,6.1,-2.3,14.5,imd_4_region_West Midlands
2019,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,65,187.6,141.7,233.6,imd_4_region_West Midlands
2020,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,60,177.1,132.6,221.5,imd_4_region_West Midlands
2021,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,65,301.1,229.0,373.2,imd_4_region_West Midlands
2022,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_West Midlands
2023,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,SUPPRESSED; n<10,2.8,-2.7,8.4,imd_4_region_West Midlands
allyears,80-84,All Persons,IMD Q4,West Midlands,All Stages,All Routes,190,21.7,15.6,27.8,
2016,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,SUPPRESSED; n<10,3.8,-3.7,11.3,imd_4_region_Yorkshire and The Humber
2017,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,SUPPRESSED; n<10,11.2,-1.5,23.9,imd_4_region_Yorkshire and The Humber
2018,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,SUPPRESSED; n<10,7.3,-2.8,17.3,imd_4_region_Yorkshire and The Humber
2019,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,65,226.1,170.7,281.4,imd_4_region_Yorkshire and The Humber
2020,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,60,213.5,159.9,267.1,imd_4_region_Yorkshire and The Humber
2021,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,65,236.1,179.6,292.7,imd_4_region_Yorkshire and The Humber
2022,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_4_region_Yorkshire and The Humber
2023,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,SUPPRESSED; n<10,3.4,-3.3,10.1,imd_4_region_Yorkshire and The Humber
allyears,80-84,All Persons,IMD Q4,Yorkshire and The Humber,All Stages,All Routes,190,29.2,21.6,36.8,
2016,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,50,16.0,11.6,20.4,imd_5
2017,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,50,14.7,10.5,18.9,imd_5
2018,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,65,18.7,14.1,23.3,imd_5
2019,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,65,18.1,13.7,22.6,imd_5
2020,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,60,17.6,13.2,22.0,imd_5
2021,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,75,27.9,21.7,34.1,imd_5
2022,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,65,17.8,13.4,22.2,imd_5
2023,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,75,20.6,15.9,25.3,imd_5
allyears,80-84,All Persons,IMD Q5,All Regions,All Stages,All Routes,505,21.6,19.7,23.5,
2016,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.9,-0.1,2.0,imd_5_rtd_emergency
2017,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.3,-0.3,0.9,imd_5_rtd_emergency
2018,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,SUPPRESSED; n<10,0.9,-0.1,1.9,imd_5_rtd_emergency
2019,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_emergency
2020,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_emergency
2021,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_emergency
2022,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,SUPPRESSED; n<10,1.4,0.2,2.6,imd_5_rtd_emergency
2023,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,SUPPRESSED; n<10,1.4,0.2,2.6,imd_5_rtd_emergency
allyears,80-84,All Persons,IMD Q5,All Regions,All Stages,Emergency,0,0.7,0.4,1.1,
2016,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,45,14.8,10.6,19.0,imd_5_rtd_non_emergency
2017,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,40,12.6,8.7,16.4,imd_5_rtd_non_emergency
2018,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,55,16.9,12.5,21.3,imd_5_rtd_non_emergency
2019,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_non_emergency
2020,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_non_emergency
2021,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A,imd_5_rtd_non_emergency
2022,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,60,16.4,12.2,20.6,imd_5_rtd_non_emergency
2023,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,65,18.9,14.4,23.4,imd_5_rtd_non_emergency
allyears,80-84,All Persons,IMD Q5,All Regions,All Stages,Non-emergency,265,11.7,10.3,13.1,
2016,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,20,6.3,3.5,9.0,imd_5_stage_early
2017,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,20,6.1,3.4,8.8,imd_5_stage_early
2018,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,25,8.0,5.0,11.0,imd_5_stage_early
2019,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,15,4.0,1.9,6.1,imd_5_stage_early
2020,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,25,6.8,4.1,9.6,imd_5_stage_early
2021,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,30,10.1,6.4,13.9,imd_5_stage_early
2022,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_5_stage_early
2023,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,#N/A,#N/A,#N/A,#N/A,imd_5_stage_early
allyears,80-84,All Persons,IMD Q5,All Regions,Early,All Routes,135,7.6,6.5,8.7,
2016,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,25,8.2,5.0,11.3,imd_5_stage_advanced
2017,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,25,7.4,4.4,10.3,imd_5_stage_advanced
2018,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,25,7.7,4.8,10.7,imd_5_stage_advanced
2019,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,30,9.2,6.0,12.4,imd_5_stage_advanced
2020,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,25,7.4,4.6,10.2,imd_5_stage_advanced
2021,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,40,14.9,10.3,19.4,imd_5_stage_advanced
2022,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_5_stage_advanced
2023,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A,imd_5_stage_advanced
allyears,80-84,All Persons,IMD Q5,All Regions,Advanced,All Routes,170,5.8,4.8,6.7,
2016,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,3.4,-3.3,10.1,imd_5_region_East Midlands
2017,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,19.9,4.0,35.9,imd_5_region_East Midlands
2018,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,9.6,-1.3,20.5,imd_5_region_East Midlands
2019,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,65,193.6,145.8,241.4,imd_5_region_East Midlands
2020,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,60,188.4,141.5,235.4,imd_5_region_East Midlands
2021,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,75,318.3,247.2,389.4,imd_5_region_East Midlands
2022,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_5_region_East Midlands
2023,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,SUPPRESSED; n<10,3.0,-2.8,8.8,imd_5_region_East Midlands
allyears,80-84,All Persons,IMD Q5,East Midlands,All Stages,All Routes,200,27.6,20.5,34.6,
2016,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,SUPPRESSED; n<10,2.3,-2.2,6.7,imd_5_region_East of England
2017,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,SUPPRESSED; n<10,13.2,2.6,23.8,imd_5_region_East of England
2018,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,SUPPRESSED; n<10,6.4,-0.8,13.7,imd_5_region_East of England
2019,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,65,131.9,99.3,164.4,imd_5_region_East of England
2020,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,60,129.1,97.0,161.3,imd_5_region_East of England
2021,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,75,186.7,145.0,228.4,imd_5_region_East of England
2022,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_5_region_East of England
2023,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,SUPPRESSED; n<10,2.1,-2.0,6.2,imd_5_region_East of England
allyears,80-84,All Persons,IMD Q5,East of England,All Stages,All Routes,200,15.0,10.7,19.2,
2016,80-84,All Persons,IMD Q5,London,All Stages,All Routes,SUPPRESSED; n<10,4.0,-3.9,11.9,imd_5_region_London
2017,80-84,All Persons,IMD Q5,London,All Stages,All Routes,SUPPRESSED; n<10,23.8,4.8,42.9,imd_5_region_London
2018,80-84,All Persons,IMD Q5,London,All Stages,All Routes,SUPPRESSED; n<10,11.7,-1.5,24.9,imd_5_region_London
2019,80-84,All Persons,IMD Q5,London,All Stages,All Routes,65,239.3,180.2,298.4,imd_5_region_London
2020,80-84,All Persons,IMD Q5,London,All Stages,All Routes,60,233.7,175.5,291.8,imd_5_region_London
2021,80-84,All Persons,IMD Q5,London,All Stages,All Routes,75,326.4,253.5,399.3,imd_5_region_London
2022,80-84,All Persons,IMD Q5,London,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_5_region_London
2023,80-84,All Persons,IMD Q5,London,All Stages,All Routes,SUPPRESSED; n<10,3.9,-3.8,11.6,imd_5_region_London
allyears,80-84,All Persons,IMD Q5,London,All Stages,All Routes,200,25.3,17.9,32.7,
2016,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,SUPPRESSED; n<10,9.1,-8.7,26.9,imd_5_region_North East
2017,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,SUPPRESSED; n<10,52.9,10.6,95.3,imd_5_region_North East
2018,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,SUPPRESSED; n<10,25.5,-3.4,54.4,imd_5_region_North East
2019,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,65,512.8,386.2,639.5,imd_5_region_North East
2020,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,60,495.2,371.9,618.4,imd_5_region_North East
2021,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,75,694.4,539.3,849.6,imd_5_region_North East
2022,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_5_region_North East
2023,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,SUPPRESSED; n<10,7.9,-7.6,23.4,imd_5_region_North East
allyears,80-84,All Persons,IMD Q5,North East,All Stages,All Routes,200,19.4,9.9,28.9,
2016,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,SUPPRESSED; n<10,3.0,-2.9,8.9,imd_5_region_North West
2017,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,SUPPRESSED; n<10,17.5,3.5,31.5,imd_5_region_North West
2018,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,SUPPRESSED; n<10,8.4,-1.1,18.0,imd_5_region_North West
2019,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,65,170.7,128.6,212.9,imd_5_region_North West
2020,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,60,164.7,123.7,205.7,imd_5_region_North West
2021,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,75,258.6,200.8,316.4,imd_5_region_North West
2022,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_5_region_North West
2023,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,SUPPRESSED; n<10,2.6,-2.5,7.6,imd_5_region_North West
allyears,80-84,All Persons,IMD Q5,North West,All Stages,All Routes,200,22.7,16.8,28.7,
2016,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,SUPPRESSED; n<10,1.2,-1.1,3.4,imd_5_region_South East
2017,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,SUPPRESSED; n<10,6.8,1.4,12.3,imd_5_region_South East
2018,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,SUPPRESSED; n<10,3.3,-0.4,7.0,imd_5_region_South East
2019,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,65,67.4,50.8,84.1,imd_5_region_South East
2020,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,60,65.6,49.3,82.0,imd_5_region_South East
2021,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,75,105.8,82.2,129.5,imd_5_region_South East
2022,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,SUPPRESSED; n<10,0.0,0.0,0.0,imd_5_region_South East
2023,80-84,All Persons,IMD Q5,South East,All Stages,All Routes,SUPPRESSED; n<10,1.1,-1.0,3.1,imd_5_region_South East
